feed_category,fa_parent_category,fa_leaf_category,fa_leaf_category_lvl
Home Care,Home and Social Care Jobs,Carer Jobs,3
Advice,"Marketing, Media and PR Jobs","Other Marketing, Media, and PR Jobs",3
Design / Fashion,"Marketing, Media and PR Jobs",Design and Creative Jobs,3
Training,Graduate Jobs and Apprenticeships,Trainee Jobs,3
Manufacturing / Industrial,General Jobs,Manufacturing Jobs,3
Health / Medical,Healthcare and Medicine Jobs,Healthcare Jobs,3
Advertising / Marketing / PR,"Marketing, Media and PR Jobs",Marketing Jobs,3
Engineering,Engineering Jobs,Graduate Engineering Jobs,3
Logistics jobs,Transport and Logistics Jobs,Logistics Jobs,4
Project Management,"Sales, Retail and Customer Service Jobs",Business Development Jobs,3
Receptionist,"Office, Admin and PA Jobs",Receptionist Jobs,3
Technical,jobs,Computing and IT Jobs,2
Legal,Law Jobs,Paralegal and Trainee Law Jobs,3
Retail,"Sales, Retail and Customer Service Jobs",Retail Jobs,3
Account Management Jobs,Accountancy and Finance Jobs,Management Accountant and Financial Controller Jobs,3
Admin Jobs,"Office, Admin and PA Jobs",Admin Jobs,3
Administrator Jobs,"Office, Admin and PA Jobs",Admin Jobs,3
Advertising Jobs,"Marketing, Media and PR Jobs",Advertising Jobs,3
Alternative Health,Healthcare and Medicine Jobs,Healthcare Jobs,3
Analysis Jobs,Computing and IT Jobs,Business Analyst Jobs,3
Book Keeping Services,Accountancy and Finance Jobs,Bookkeeping Jobs,3
Brand Management Jobs,"Marketing, Media and PR Jobs",Brand Manager Jobs,3
Business Development Jobs,"Sales, Retail and Customer Service Jobs",Business Development Jobs,3
Business Travel Jobs,Seasonal and Overseas Jobs,Travel and Tourism Jobs,3
Caf̩ Bars,Hospitality and Catering Jobs,Other Hospitality and Catering Jobs,3
Campaign Management Jobs,"Marketing, Media and PR Jobs","Digital Marketing, SEO and PPC Jobs",3
Camping & Caravan Parks,Seasonal and Overseas Jobs,Campsite Jobs,3
Channel Marketing Jobs,"Marketing, Media and PR Jobs","Other Marketing, Media, and PR Jobs",3
Chiropractors,"Health, Beauty and Fitness Jobs","Other Health, Beauty, and Fitness Jobs",3
